budget,genres,popularity,release_date,revenue,runtime,title,vote_average,vote_count,release_year,return,actors,directors
4600000.0,"['History', 'Action', 'Drama']",4.342418,2013-07-12,25000000,186.0,Bhaag Milkha Bhaag,7.3,62,2013,5.43,"['Arjun Rampal', 'Rishi Kapoor', 'Irrfan Khan', 'Huma Qureshi', 'Imran Hasnee', 'Aakash Dahiya', 'Chandan Roy Sanyal', 'Shruti Haasan', 'Nassar']",['Nikhil Advani']
0.0,"['Action', 'Thriller']",1.462374,2013-07-19,0,153.0,D-Day,6.4,10,2013,0.0,"['George Kennedy', 'Andrew Stevens', 'Starr Andreeff', 'Terri Treas', 'John Lafayette', 'Tommy Hinkley', 'Yvonne Saa', 'Joseph Hardin', 'Al Guarino', 'Jack Valan', 'Joal Corso']",['Thierry Notz']
130000000.0,"['Fantasy', 'Action', 'Comedy', 'Crime']",9.369679,2013-07-18,61648500,96.0,R.I.P.D.,5.4,1280,2013,0.47,"['Jennifer Love Hewitt', 'Teddy Sears', 'Sonja Bennett', 'Lynda Boyd', 'Chelah Horsdal', 'Heather Doerksen', 'Kacey Rohl', 'Kandyse McClure', 'Cybill Shepherd', 'Andy Nez', 'Cameron McDonald', 'Haviland Stillwell', 'Olivia Steele-Falconer', 'Valin Shinyei', 'John Innes', 'Sophie Lui', 'Mark Brandon', 'Garry Chalk', 'Alberta Mayne']",['Eric Laneuville']
3500000.0,"['Fantasy', 'Science Fiction', 'Animation', 'Action', 'Adventure']",9.527559,2013-07-28,0,75.0,Justice League: The Flashpoint Paradox,7.3,458,2013,0.0,"['David Tennant', ""Jack O'Connell"", 'Sam Claflin', 'Dougray Scott', 'Dean Andrews', 'Kate Ashfield', 'David Calder', 'Neil Dudgeon', 'Melanie Hill', 'Philip Hill-Pearson', 'Thomas Howes', 'Ben Peel', 'Brogan West', 'Kyle Ward', 'Tim Healy', 'Bill Fellows']",['James Strong']
5000000.0,"['Action', 'Comedy']",6.637114,2013-07-12,0,107.0,Pawn Shop Chronicles,5.6,74,2013,0.0,"['Robert De Niro', 'John Travolta', 'Milo Ventimiglia', 'Elizabeth Olin', 'Diana Lyubenova', 'Kalin Sarmenov', 'Stefan Shterev']",['Mark Steven Johnson']
0.0,"['Action', 'Thriller']",13.382027,2013-07-12,39881,91.0,Killing Season,5.3,425,2013,0.0,"['Akshay Kumar', 'Sonakshi Sinha']",['Shirish Kunder']
0.0,"['Drama', 'History', 'Thriller']",13.567726,2013-07-05,32846,90.0,A Field in England,6.3,71,2013,0.0,"['Patrick Wilson', 'Vera Farmiga', 'Lili Taylor', 'Ron Livingston', 'Shanley Caswell', 'Hayley McFarland', 'Joey King', 'Mackenzie Foy', 'Kyla Deaver', 'Shannon Kook', 'John Brotherton', 'Sterling Jerins', 'Marion Guyot', 'Morganna Bridgers', 'Amy Tipton', 'Zach Pappas', 'Joseph Bishara', 'Rose Bachtel', 'James D. Nelson', 'Christof Veillon', 'Carmella Gioio', 'Steve Coulter', 'Lorraine Warren']",['James Wan']
13000000.0,"['Horror', 'Thriller']",14.90169,2013-07-18,318000141,112.0,The Conjuring,7.4,3169,2013,24.46,"['Ray Winstone', 'Jan Graveson']",['Richard Hawkins']
0.0,"['Drama', 'Thriller']",5.471865,2013-08-23,0,85.0,Scenic Route,6.2,82,2013,0.0,"['Martine Beswick', 'Edina Ronay', 'Michael Latimer', 'Stephanie Randall', 'Carol White', 'Alexandra Stevenson', 'Yvonne Horner', 'Sydney Bromley', 'Frank Hayden', 'Robert Raglan', 'Mary Hignett', 'Sally Caclough']",['Michael Carreras']
0.0,['Documentary'],1.479249,2013-07-22,0,115.0,The Cheshire Murders,5.9,18,2013,0.0,"['Christopher Sabat', 'J. Michael Tatum', 'John Swasey', 'Luci Christian', 'Mike McFarland', 'Pam Dougherty', 'R. Bruce Elliott', 'Colleen Clinkenbeard']",['Fumihiko Sori']
135000000.0,"['Animation', 'Family']",8.979753,2013-07-11,282570682,96.0,Turbo,6.1,1094,2013,2.09,"['Van Heflin', 'Tab Hunter', 'Kathryn Grant', 'James Darren', 'Mickey Shaughnessy', 'Robert F. Simon', 'Edward Platt', 'Ray Teal', 'Paul Birch', 'Michael Granger', 'Will Wright', 'Dorothy Adams', 'Harry Antrim', 'Bert Convy', 'Paul E. Burns', 'Everett Glass']",['Phil Karlson']
120000000.0,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']",3.918287,2013-07-23,415440673,126.0,The Wolverine,6.3,4110,2013,3.46,"['Jake White', 'Jake Brown', 'Caleb Courtney', 'Sky King', 'Aaron Kuban', 'Spenser Pollard', 'Tyler Thomas']",['Benjamin Carland']
0.0,"['Romance', 'Drama']",7.745083,2013-08-23,343341,90.0,Drinking Buddies,6.0,361,2013,0.0,"['Aksel Hennie', 'Pia Tjelta', 'Bjørn Floberg', 'Mads Ousdal', 'Kaia Varjord', 'Fred Heggland', 'Annmari Kastrup']",['Eva Sørhaug']
2500000.0,"['Comedy', 'Horror']",4.899401,2013-09-06,0,98.0,Hell Baby,4.9,93,2013,0.0,"['Bruce Willis', 'Catherine Zeta-Jones', 'Anthony Hopkins', 'Helen Mirren', 'John Malkovich', 'Mary-Louise Parker', 'David Thewlis', 'Neal McDonough', 'Lee Byung-hun', 'Neve Gachev', 'Lee Asquith-Coe', 'George Georgiou', 'Paul Hopkins', 'Garrick Hagon', 'Brian Cox', 'Tim Pigott-Smith', 'Bentley Kalu', 'Mitchell Mullen', 'Michael Vardian', 'Jong Kun Lee', 'Martin Sims', 'Tristan D. Lalla', 'Khalid Laith', 'Том Ву', 'Emilio Doorgasingh', 'David Papava', 'Dan Jeannotte', 'Aleksandar Mikić', 'Vincent Hoss-Desmarais', 'Nathalie Buscombe', 'Tony Pritchard', 'Kirris Riviere', 'Wahab Sheikh', 'Steven Berkoff', 'Vlasta Vrána', 'Robert Davide', 'Adam Shaw', 'Tom Hodgkins', 'Emma Heming', 'Moe Jeudy-Lamour', 'Penny Bunton', 'Nathan Wiley', 'Eric Davis', 'Andrew Byron', 'Alexandre Gorchkov', 'Michael Hearn', 'Sandra Lavoie', 'Rebecca Croll', 'Georg Nikoloff', 'Bianca Bellange', 'Kevin Woodhouse', 'Terry Maguire', 'Xavier Laurent', 'Sherif Eltayeb', 'Alan Grice', 'Thomas Thoroe', 'Yo Santhaveesuk', 'Waj Ali', 'Tony Smith', 'James Jaysen Bryhan', 'Philip Arditti']",['Dean Parisot']
84000000.0,"['Action', 'Comedy', 'Crime', 'Thriller']",11.04233,2013-07-18,0,116.0,RED 2,6.4,1548,2013,0.0,"['Y.K. Kim', 'Vincent Hirsch', 'Joseph Diamand', 'Maurice Smith', 'Angelo Janotti', 'Kathy Collier', 'William Eagle', 'Si Y Jo', 'Woo-sang Park', 'William Whitacre']","['Y.K. Kim', 'Woo-sang Park']"
0.0,['Comedy'],3.024814,2013-07-09,0,87.0,Coffee Town,6.7,45,2013,0.0,"['Bill Bixby', 'Lou Ferrigno', 'Elizabeth Gracen', 'Philip Sterling', 'Barbara Tarbuck', 'Anna Katarina', 'John Novak', 'Andreas Katsulas', 'Chilton Crane', 'Carla Ferrigno', 'Duncan Fraser', 'Dwight McFee', 'Lindsay Bourne', 'Mina E. Mina', ""Marlane O'Brien""]",['Bill Bixby']
61000000.0,"['Action', 'Comedy', 'Crime']",13.336512,2013-08-02,131940411,109.0,2 Guns,6.6,1611,2013,2.16,[],['Nina Davenport']
18000000.0,"['Comedy', 'Drama']",12.61244,2013-07-25,99206215,98.0,Blue Jasmine,7.0,1126,2013,5.51,"['Karel Roden', 'Joshua Sasse', 'Robert Gwilym', 'Alexander Mercury', 'Luke Newberry', 'Hon Ping Tang', 'Andrei Zayats', 'Mark Stevenson', 'Cristina Catalina', 'Jan de Lukowicz']",['Richard Raaphorst']
250000.0,"['Thriller', 'Drama']",4.281631,2013-07-29,56825,99.0,The Canyons,4.1,75,2013,0.23,"['Laurence Fishburne', 'Daniel Williams', 'Bill Cobbs', 'Natalie Cole', 'Laurie Metcalf', 'Cicely Tyson', 'Bridgid Coulter', 'Bill Nunn', 'Isaiah Washington', 'Bill Duke', 'Kevin Carroll', 'Jamaal Carter', 'John Toles-Bey', 'Brooke Marie Bridges', 'John Gavigan', 'Sammi Rotibi', 'Art Evans', 'Danny Goldring', 'Dan Martin', 'Paula Jai Parker', 'Vonte Sweet', 'Kelvin Garvanne', 'Crystal LaPrie', 'Mykel Taylor', 'Mary-Michelle Trinity', 'Erika LaVonn', 'John Wesley', 'John Cothran, Jr.', 'Sonya Haynes', 'Greg Bird', 'Norman D. Wilson', 'Regan Forman', 'Zaid Farid', ""Darren O'Bannon"", 'Maurice Blake', 'Lawrence Hales', 'David Gramling', 'Jason Young', 'Dirk Vahle', 'Alan Wilder']",['Michael Apted']
0.0,"['Action', 'Comedy', 'Horror']",1.393393,2013-08-01,0,95.0,Blood Shot,4.1,11,2013,0.0,"['Wallace Ford', 'Brian Donlevy', 'Phyllis Brooks', 'Erik Rhodes', 'Alan Hale', 'Molly Lamont']",['Christy Cabanne']
0.0,"['Horror', 'Thriller']",7.244622,2013-07-19,0,90.0,Beneath,3.8,23,2013,0.0,"['Paul Satterfield', 'Hamilton Camp', 'Claudia Christian', 'Marc Alaimo', 'Shari Shattuck', 'Armin Shimerman', 'Brett Porter', 'Charles Tabansi', 'Michael Deak', 'Jack Carter', 'William Butler', 'Grady Clarkson', 'Dave Thompson', 'Ken Clark', 'Diana Rose', 'Cliff Lance', 'Wayne Brewer', 'George Masselli', 'August L. Lohuaru', 'Steve Wang']",['Peter Manoogian']
90000000.0,"['Adventure', 'Family', 'Fantasy']",10.338222,2013-08-07,174578751,106.0,Percy Jackson: Sea of Monsters,5.9,1685,2013,1.94,"['Hank Azaria', 'Neil Patrick Harris', 'Brendan Gleeson', 'Jayma Mays', 'Jonathan Winters', 'Katy Perry', 'Christina Ricci', 'J.B. Smoove', 'Anton Yelchin', 'George Lopez', 'John Oliver', 'Jacob Tremblay', ""Nancy O'Dell"", 'Fred Armisen', 'Alan Cumming', 'Mario López', 'Jimmy Kimmel', 'Frank Welker', 'Tom Kane', 'Paul Reubens', 'B. J. Novak', ""Shaquille O'Neal"", 'Shaun White', 'Jeff Foxworthy', 'Gary Basaraba', 'Adam Wylie', 'Joel McCrary', 'Kenan Thompson', 'John Kassir', 'Kevin Lee', 'Vanessa Matsui', 'Gaston Morrison']",['Raja Gosnell']
105000000.0,"['Fantasy', 'Family', 'Comedy', 'Animation']",10.640864,2013-07-30,347434178,105.0,The Smurfs 2,5.5,711,2013,3.31,"['Steve Coogan', 'Anna Maxwell Martin', 'Nigel Lindsay', 'Simon Greenall', 'Colm Meaney', 'Felicity Montagu', 'Phil Cornwell', 'Darren Boyd', 'Tim Key', 'Monica Dolan', 'Simon Kunz', 'Sean Pertwee', 'Elizabeth Berrington', 'Jessica Knappett', 'Dustin Demri-Burns', 'Lucy Briers', 'Eleanor Matsuura', 'Robert Whitelock', 'Diane Morgan', 'Alan Rothwell', 'Rita Davies', 'Anna Stockton', 'Simon Delaney']",['Declan Lowney']
4000000.0,['Comedy'],10.130541,2013-07-24,9800000,90.0,Alan Partridge: Alpha Papa,6.5,184,2013,2.45,"['Bradley Gregg', 'Traci Lind', 'Malcolm McDowell', 'Stacy Keach', 'Patrick Kilpatrick', 'Pam Grier', 'John P. Ryan', 'Darren E. Burrows', 'Joshua John Miller', 'Brent David Fraser', 'Jason Oliver', 'Jill Gatsby', 'Sean Sullivan']",['Mark L. Lester']
0.0,['Comedy'],2.826746,2013-07-17,0,91.0,Computer Chess,6.3,37,2013,0.0,"['Erika Blanc', 'Jean Servais', 'Daniel Emilfork', 'Jacques Monseau', 'Lucien Raimbourg', 'Colette Emmanuelle', 'Ivana Novak', 'Shirley Corrigan', 'Frédérique Hender', 'Lorenzo Terzon', 'Christian Maillet', 'Maurice De Groote', 'Yvonne Garden']",['Jean Brismée']
0.0,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Music']",8.353231,2013-06-15,0,72.0,My Little Pony: Equestria Girls,7.1,41,2013,0.0,"['Yasuo Yamada', 'Kiyoshi Kobayashi', 'Eiko Masuyama', 'Gorō Naya', 'Makio Inoue']","['Soji Yoshikawa', 'Yasuo Ôtsuka']"
0.0,"['Documentary', 'Family', 'Drama']",0.259069,2013-06-24,0,75.0,Miss You Can Do It,8.5,1,2013,0.0,[],[]
25000000.0,"['Action', 'Drama']",11.829231,2013-07-04,2054941,105.0,Man of Tai Chi,5.8,295,2013,0.08,"['Gregg Palmer', 'Allison Hayes', 'Autumn Russell', 'Joel Ashley', 'Morris Ankrum', 'Marjorie Eaton', 'Gene Roth', 'Leonard P. Geer', ""Karl 'Killer' Davis"", 'Ray Corrigan', 'Frank Hagney']",['Edward L. Cahn']
0.0,['Documentary'],0.466299,2013-08-07,0,34.0,From One Second to the Next,7.4,10,2013,0.0,"['Sasha Mitchell', 'Nicholas Guest', 'Michele Krasnoo', 'Brad Thornton', 'Deborah Mansy', 'Jill Pierce', 'Nicholas Anthony']",['Albert Pyun']
37000000.0,"['Comedy', 'Crime']",18.474368,2013-08-07,269994119,110.0,We're the Millers,6.8,3053,2013,7.3,"['Pamela Adlon', 'Georg Olden', 'Michael Hentz', 'Joey Coleman', 'Christopher Brown', 'Anne De Salvo', 'Murphy Dunne', 'Karen Black', 'Martin Mull', 'Stephen Stucker', 'John Paul Lussier', 'Edy Williams', 'Hy Pyke', 'Marshall Efron', 'Richard Deacon', 'Kimmy Robertson']",['Robert Houston']
80000000.0,['Comedy'],9.411725,2013-07-11,246984278,100.0,Grown Ups 2,5.8,1180,2013,3.09,"['Dead Addict', 'Brian Baskin', 'Ryan Clarke', 'Matthew M. Conley', 'Chris Darbro', 'Dr. Faustus', 'Ryan Finnie']",['Jason Scott Sadofsky']
0.0,['Documentary'],0.482542,2013-08-01,0,110.0,DEFCON: The Documentary,6.1,6,2013,0.0,"['Jax Jackson', 'Jessica London-Shields', 'Fawzia Mirza', 'Marika Engelhardt', 'Laura Chernicky', 'Christopher Meister', 'Jen LaForte', 'Kate Lane', 'Anita Nicole Brown', 'Sapna Kumar', 'Sienna Harris', 'Tinuade Oyelowo', 'Vanessa Pena', 'Todd McConville', 'Uncle Alice', 'Suzy Brack', 'Jai Sanghvi', 'Matt Dreier', 'Jen Kauper Brown', 'Marilyn Campbell-Lowe', 'Pete Giovagnoli', 'Jaimelyn Gray', 'Gary Everett', 'Dutes Miller', 'Stan Shellabarger', 'Ashley Simone', 'Joel Vining', 'Steven James Price', 'Rj Buckler']",['Wendy Jo Carlton']
